Description,Vendor,Product,Severity,Attack Complexity,Attack Vector,Availability Impact,Confidentiality Impact,Integrity Impact,Privileges Required,Scope,User Interaction
A denial of service vulnerability exists in Arcserve Unified Data Protection 9.2 and 8.1 in ASNative.dll.,Arcserve,Unified Data Protection,HIGH,LOW,NETWORK,HIGH,NONE,NONE,NONE,UNCHANGED,NONE
Incorrect Pointer Scaling vulnerability in Mitsubishi Electric Corporation MELSEC-Q Series and MELSEC-L Series CPU modules allows a remote unauthenticated attacker to read arbitrary information from a target product or execute malicious code on a target product by sending a specially crafted packet.,Mitsubishi Electric Corporation,MELSEC-Q Series Q03UDECPU,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
Integer Overflow or Wraparound vulnerability in Mitsubishi Electric Corporation MELSEC-Q Series and MELSEC-L Series CPU modules allows a remote unauthenticated attacker to execute malicious code on a target product by sending a specially crafted packet.,Mitsubishi Electric Corporation,MELSEC-Q Series Q03UDECPU,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
The buffer overflow vulnerability in the DX3300-T1 firmware version V5.50(ABVY.4)C0 could allow an authenticated local attacker to cause denial of service (DoS) conditions by executing the CLI command with crafted strings on an affected device.,Zyxel,DX3300-T1 firmware,MEDIUM,LOW,LOCAL,HIGH,NONE,NONE,LOW,UNCHANGED,NONE
"
Improper initialization of default settings in TeamViewer Remote Client prior version 15.51.5 for Windows, Linux and macOS, allow a low privileged user to elevate privileges by changing the personal password setting and establishing a remote connection to a logged-in admin account.

",TeamViewer,Remote Full Client,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,REQUIRED
"Vault and Vault Enterprise (“Vault”) may expose sensitive information when enabling an audit device which specifies the `log_raw` option, which may log sensitive information to other audit devices, regardless of whether they are configured to use `log_raw`.",HashiCorp,Vault,MEDIUM,LOW,NETWORK,NONE,HIGH,NONE,HIGH,UNCHANGED,REQUIRED
"In Telerik Reporting versions prior to 2024 R1, a privilege elevation vulnerability has been identified in the applications installer component.  In an environment where an existing Telerik Reporting install is present, a lower privileged user has the ability to manipulate the installation package to elevate their privileges on the underlying operating system.",Progress Software,Telerik Reporting,HIGH,HIGH,LOCAL,HIGH,HIGH,HIGH,LOW,CHANGED,NONE
"In Telerik Test Studio versions prior to 

v2023.3.1330, a privilege elevation vulnerability has been identified in the applications installer component.  In an environment where an existing Telerik Test Studio install is present, a lower privileged user has the ability to manipulate the installation package to elevate their privileges on the underlying operating system.",Progress Software,Telerik Test Studio,HIGH,HIGH,LOCAL,HIGH,HIGH,HIGH,LOW,CHANGED,NONE
"The Grandstream UCM Series IP PBX before firmware version 1.0.20.52 is affected by a parameter injection vulnerability in the HTTP interface. A remote and authenticated attacker can execute arbitrary code by sending a crafted HTTP request. Authentication may be possible using a default user and password. Affected models are the UCM6202, UCM6204, UCM6208, and UCM6510.
",Grandstream,UCM Series,HIGH,LOW,NETWORK,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
Leanote version 2.7.0 allows obtaining arbitrary local files. This is possible because the application is vulnerable to LFR.,Leanote,Leanote,MEDIUM,LOW,LOCAL,NONE,HIGH,NONE,NONE,UNCHANGED,REQUIRED
"URL redirection to untrusted site ('Open Redirect') vulnerability in file access component in Synology DiskStation Manager (DSM) before 6.2.4-25556-8, 7.0.1-42218-7, 7.1.1-42962-7 and 7.2.1-69057-2 allows remote authenticated users to conduct phishing attacks via unspecified vectors.",Synology,DiskStation Manager (DSM),MEDIUM,LOW,NETWORK,NONE,LOW,LOW,LOW,CHANGED,REQUIRED
Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Universal Software Inc. FlexWater Corporate Water Management allows SQL Injection.This issue affects FlexWater Corporate Water Management: before 5.452.0.,Universal Software Inc.,FlexWater Corporate Water Management,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
"
The affected product is vulnerable to a cleartext transmission of sensitive information vulnerability, which may allow an attacker to capture packets to craft their own requests.

",Softing,edgeConnector,HIGH,LOW,ADJACENT_NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
"An issue has been discovered in GitLab EE affecting all versions starting from 16.4 before 16.7.6, all versions starting from 16.8 before 16.8.3, all versions starting from 16.9 before 16.9.1. Users with the `Guest` role can change `Custom dashboard projects` settings contrary to permissions.",GitLab,GitLab,MEDIUM,LOW,NETWORK,NONE,NONE,LOW,LOW,UNCHANGED,NONE
The Proofpoint Encryption endpoint of Proofpoint Enterprise Protection contains a Server-Side Request Forgery vulnerability that allows an authenticated user to relay HTTP requests from the Protection server to otherwise private network addresses.,Proofpoint,Enterprise Protection,MEDIUM,LOW,NETWORK,NONE,LOW,NONE,LOW,CHANGED,NONE
"CWE-798: Use of hard-coded credentials vulnerability exists that could cause local privilege
escalation when logged in as a non-administrative user.",Schneider Electric,EcoStruxure IT Gateway,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
"
Authentication bypass in vector-admin allows a user to register to a vector-admin server while “domain restriction” is active, even when not owning an authorized email address.


",Mintplex-Labs,vector-admin,MEDIUM,LOW,NETWORK,NONE,LOW,LOW,NONE,UNCHANGED,NONE
"Remotely executed SEGV and out of bounds read allows malicious packet sender to crash or cause an out of bounds read via sending a malformed packet with the correct length.
",wolfSSL,wolfSSL,HIGH,HIGH,NETWORK,HIGH,NONE,LOW,NONE,CHANGED,NONE
"Unauthenticated file upload allows remote code execution.
This issue affects UvDesk Community: from 1.0.0 through 1.1.3.

",Webkul Software,UvDesk Community,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,CHANGED,NONE
Insertion of Sensitive Information into Log File vulnerabilities are affecting DELMIA Apriso Release 2019 through Release 2024,Dassault Systèmes,DELMIA Apriso,MEDIUM,LOW,LOCAL,NONE,HIGH,NONE,HIGH,UNCHANGED,NONE
"Reliance on Cookies without Validation and Integrity Checking vulnerability in Talya Informatics Elektraweb allows Session Credential Falsification through Manipulation, Accessing/Intercepting/Modifying HTTP Cookies, Manipulating Opaque Client-based Data Tokens.This issue affects Elektraweb: before v17.0.68.",Talya Informatics,Elektraweb,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
"Improper Access Control, Missing Authorization, Incorrect Authorization, Incorrect Permission Assignment for Critical Resource, Missing Authentication, Weak Authentication, Improper Restriction of Communication Channel to Intended Endpoints vulnerability in Talya Informatics Elektraweb allows Exploiting Incorrectly Configured Access Control Security Levels, Manipulating Web Input to File System Calls, Embedding Scripts within Scripts, Malicious Logic Insertion, Modification of Windows Service Configuration, Malicious Root Certificate, Intent Spoof, WebView Exposure, Data Injected During Configuration, Incomplete Data Deletion in a Multi-Tenant Environment, Install New Service, Modify Existing Service, Install Rootkit, Replace File Extension Handlers, Replace Trusted Executable, Modify Shared File, Add Malicious File to Shared Webroot, Run Software at Logon, Disable Security Software.This issue affects Elektraweb: before v17.0.68.",Talya Informatics,Elektraweb,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
"
A stored XSS vulnerability exists where an authenticated, remote attacker with administrator privileges on the Nessus application could alter Nessus proxy settings, which could lead to the execution of remote arbitrary scripts. 

",Tenable,Nessus,MEDIUM,LOW,NETWORK,NONE,LOW,LOW,HIGH,CHANGED,REQUIRED
A potential vulnerability has been identified in OpenText / Micro Focus ArcSight Enterprise Security Manager (ESM). The vulnerability could be remotely exploited.,OpenText,ArcSight Enterprise Security Manager,MEDIUM,LOW,NETWORK,NONE,LOW,NONE,LOW,UNCHANGED,NONE
"
A SQL injection vulnerability exists where an authenticated, low-privileged remote attacker could potentially alter scan DB content.

",Tenable,Nessus,MEDIUM,LOW,NETWORK,NONE,NONE,HIGH,LOW,UNCHANGED,NONE
"Okta Browser Plugin versions 6.5.0 through 6.31.0 (Chrome/Edge/Firefox/Safari) are vulnerable to cross-site scripting. This issue occurs when the plugin prompts the user to save these credentials within Okta Personal. A fix was implemented to properly escape these fields, addressing the vulnerability. Importantly, if Okta Personal is not added to the plugin to enable multi-account view, the Workforce Identity Cloud plugin is not affected by this issue. The vulnerability is fixed in Okta Browser Plugin version 6.32.0 for Chrome/Edge/Safari/Firefox.",Okta,Okta Browser Plugin,HIGH,LOW,NETWORK,NONE,HIGH,LOW,NONE,UNCHANGED,REQUIRED
